Timestamp,Full Name :,Gender :,Do you use your phone to click pictures of class notes?,Do you buy books/access books from your mobile?,Does your phone's battery last a day?,"When your phone's battery dies out, do you run for the charger?",Do you worry about losing your cell phone?,Do you take your phone to the bathroom?,Do you use your phone in any social gathering (parties)?,Do you often check your phone without any notification? ,Do you check your phone just before going to sleep/just after waking up?,Do you keep your phone right next to you while sleeping?,"Do you check emails, missed calls, texts during class time? ",Do you find yourself relying on your phone when things get awkward?,Are you on your phone while watching TV or eating food?,Do you have a panic attack if you leave your phone elsewhere?,You don't mind responding to messages or checking your phone while on date? ,For how long do you use your phone for playing games?,Can you live a day without phone ? ,whether you are addicted to phone?
2023/03/28 2:34:39 PM GMT+5:30,Aqib,MALE,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,<2 hours,Yes,No
2023/03/28 2:34:57 PM GMT+5:30,Sai srujan ,MALE,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,>2 hours,Yes,No
2023/03/28 2:35:39 PM GMT+5:30,Venu ,MALE,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,>2 hours,No,Yes
2023/03/28 2:36:38 PM GMT+5:30,Samanvith,Female,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,>2 hours,Yes,Yes
2023/03/28 2:36:46 PM GMT+5:30,Sahadev,MALE,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,<2 hours,Yes,No
2023/03/28 2:37:54 PM GMT+5:30,Chandra,MALE,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,>2 hours,Yes,No
2023/03/28 2:38:26 PM GMT+5:30,Laxman,MALE,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,>2 hours,Yes,Yes
2023/03/28 2:39:19 PM GMT+5:30,Sheri mohan,MALE,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,>2 hours,Yes,No
2023/03/28 2:39:59 PM GMT+5:30,Puri jaganath ,MALE,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,>2 hours,No,Yes
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:24 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:25 PM GMT+5:30,praneeth,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:53 PM GMT+5:31,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:31:55 PM GMT+5:30,mahesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:18 PM GMT+5:31,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:20 PM GMT+5:30,rahul,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:46 PM GMT+5:31,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:32:48 PM GMT+5:30,ashwin,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:07 PM GMT+5:31,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:08 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:09 PM GMT+5:30,axar,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:28 PM GMT+5:31,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:29 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:30 PM GMT+5:30,jadeja,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:48 PM GMT+5:31,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:49 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:33:50 PM GMT+5:30,rohit,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:10 PM GMT+5:31,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
2023/03/10 3:34:12 PM GMT+5:30,umesh,MALE,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,>2 hours,Yes,No
